,title,location,address,phone,website,price,description,source
50,Cassoi,South Goa,,7796456453,www.cassoibyciarans.com,huts & tents ₹3000-5000,"Woven into the palms on peaceful Galgibag Beach, this hut village has something for everyone with Rajasthani safari tents, round African-style huts, double-storey boat-shaped huts and air-con rooms in a house, all in an intimate garden. All the ecofriendly attention to detail is there and the restaurant serves great veg and nonveg food. Cassoi means 'turtle'.",https://www.lonelyplanet.com/india/goa/galgibag-talpona/hotels/cassoi/a/poi-sle/1612267/1329294
51,H2O Agonda,South Goa,Agonda Beach,9921836730,www.h2oagonda.com,d incl breakfast ₹5700-9300,"With its purple and mauve muslin curtains and Arabian nights ambience, H2O is among the most impressive of Agonda’s luxury cottage setups. From the hotel-style reception, walk through a leafy garden to the spacious cottages with air-con and enormous open-air bathrooms. The more expensive sea-facing cottages with king-size beds may be worth paying extra for.",https://www.lonelyplanet.com/india/goa/agonda/hotels/h2o-agonda/a/poi-sle/1506072/1302133
52,Nilaya Hermitage,Calangute & Baga,,0832-2269793,www.nilaya.com,"r & tent incl breakfast ₹17,300","The ultimate in Goan luxury, set 3km inland from the beach at Arpora, a stay here will see you signing the guestbook alongside Bollywood stars and other celebrity types. Eleven beautiful red-stone Moorish rooms undulate around a swimming pool, along with two luxury 'Arabian Nights' tents. The food is as dreamy as the surroundings, and the spa will spoil you.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/nilaya-hermitage/a/poi-sle/1150095/1329280
53,Island House,Divar Island,No 45 Piedade,8322280605,www.islandhousegoa.com,r incl breakfast ₹5600,"Island House is a divine family-run homestay in a beautiful old Portuguese mansion. The villa and heritage rooms come with bathroom and colonial furnishings while outside is a pretty garden and pool, part of the rambling grounds. Home-cooked meals can be enjoyed inside or by the pool. It’s just west of the main village but there’s no sign – call ahead.",https://www.lonelyplanet.com/india/goa/divar-island/hotels/island-house/a/poi-sle/1430784/1329271
54,Vivanta by Taj Holiday Village,North Goa,Fort Aguada Rd,1800-111825,www.vivanta.tajhotels.com,"cottages ₹21,800-35,200","The Taj’s garden complex comprises 142 cottages and villas in a smart variation on a five-star theme, with all the luxuries you’d expect from this top-end chain. The palm-filled garden spills down to the beach, and its Banyan Tree restaurant is well regarded for good Thai food in beautiful al fresco surroundings.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/vivanta-by-taj-holiday-village/a/poi-sle/1024770/1329279
55,D’Mello’s Sea View Home,North Goa,"Monteiro’s Rd, Escrivao Vaddo",0832-2489395,www.dmellos.com,"d with/without AC ₹3500/2500, sea view ₹4750/4150","D’Mello’s has grown up from small beginnings, but is still family-run and occupies four buildings around a lovely garden just back from the beach. The front building has the premium sea-view rooms so check out a few, but all are clean and well maintained with balconies, four-poster beds and shuttered windows. Wi-fi is available in the central area.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/d-mello-s-sea-view-home/a/poi-sle/1150069/1329279
56,Taj Exotica Resort & Spa,South Goa,,0832-6683333,www.tajhotels.com,"d ₹34,500-63,500","Bollywood stars and sheikhs are known to stay at the Taj Exotica, one of Goa’s plushest and priciest resorts. Set in 23 hectares of tropical gardens 2km south of Benaulim, it has spas, restaurants and pools. Most travellers will be content to visit its swish restaurants, including the Goan cuisine of Miguel Arcanjo and the beachfront Lobster Village.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/taj-exotica-resort-spa/a/poi-sle/1017984/1315142
57,Riverside,North Goa,Junas Waddo,9049503605,www.riversidemandrem.com,huts ₹800-1200,"At the southern end of Mandrem Beach, overlooking the creek, Riverside is an excellent, two-level open-sided restaurant with a collection of well-designed but affordable palm-thatch and timber huts at the back and side. These are some of the best-value beachfront huts in Mandrem and there's a kitesurfing school here and stand-up paddleboards for rent.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/riverside/a/poi-sle/1552764/1301996
58,Sea Horse,Anjuna,,9764465078,www.vistapraiaanjuna.com,,"A lineup of timber cabins behind the beach restaurant of the same name, Sea Horse offers a good location and decent value. The huts are small and get a little hot – ask for the air-con remote control if it’s uncomfortably humid. Staff are friendly and accommodating. The same owners have a pricier beachfront setup nearby called Vista Praia Anjuna.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/sea-horse/a/poi-sle/1506371/356225
59,Home,South Goa,,9923944676,www.homebeachresort.com,r ₹2000-3500,"Home is a lovely family-owned guesthouse-style resort with a popular beachfront restaurant serving awesome dessert – chocolate brownies, apple tarts and cheesecake. No beach huts here but eight neatly decorated, light-filled rooms behind the restaurant and some larger family rooms around the garden at the street entrance. Minimum two-night stay.",https://www.lonelyplanet.com/india/goa/patnem/hotels/home/a/poi-sle/1024774/1302135
60,Papaya’s,South Goa,,9923079447,www.papayasgoa.com,"huts ₹2000-3000, cottages with AC ₹4500","Solid huts constructed with natural materials head back into the palm grove from Papaya’s popular restaurant. These are easily some of the best cabins and rooms on Patnem Beach: each hut is lovingly built, with lots of wood, four-poster beds and floating muslin, while the one and two-bedroom air-con brick cottages are fitted out like apartments.",https://www.lonelyplanet.com/india/goa/patnem/hotels/papaya-s/a/poi-sle/1116944/1302135
61,Peace Garden,South Goa,,9168350727,www.peacegardengoa.com,huts ₹2100-4800,"Peace Garden is a well-constructed hut village on Talpona Beach with a focus on wellness and relaxation – there are drop-in yoga classes (₹500) daily, yoga holidays and massage and ayurvedic therapies. Accommodation ranges from garden cottages at the back to family cottages and the deluxe sea-facing huts, all with attached bathroom and fan.",https://www.lonelyplanet.com/india/goa/galgibag-talpona/hotels/peace-garden/a/poi-sle/1612268/1329294
62,Marbela Beach Resort,North Goa,782 Gawdewada,9158881185,www.marbelabeach.com,"tents & villas/ste ₹13,800/20,700","The luxury tents and ‘Spanish-style’ villas at this slick resort are pricey but fitted out like five-star hotel rooms. Even if you don’t stay here, the beachfront cabanas are a divine spot for a drink and the Euro fusion restaurant is destination dining. 'White parties' frequently draw a crowd. Naturally, there's a spa and yoga classes.",https://www.lonelyplanet.com/india/goa/morjim/hotels/marbela-beach-resort/a/poi-sle/1506326/1301994
63,Neelchand by Ciarans,South Goa,,7796783663,www.neelchand.com,cottages ₹4000,The Ciarans magic from Palolem has been transported to an absolute beachfront location on near-deserted Talpona Beach. There are just seven lovely timber cottages (five with air-con) in a sweet little garden strewn with hammocks and flowering plants. There's a beachfront restaurant and bar but this is a place for peace rather than partying.,https://www.lonelyplanet.com/india/goa/galgibag-talpona/hotels/neelchand-by-ciarans/a/poi-sle/1612266/1329294
64,Paradise,Anjuna,Anjuna-Mapusa Rd,9922541714,,"d ₹1000-1200, with AC ₹1500-2000","This friendly place is fronted by an old Portuguese home and offers neat, clean rooms with well-decorated options in the newer annexe. The better rooms have TVs, fridges and hammocks on the balcony. Friendly owner Janet and family also run the pharmacy, general store, restaurant, internet cafe, Connexions travel agency and money exchange.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/paradise/a/poi-sle/1150102/356225
65,Palm Discoveries,South Goa,Khancola Beach,9820991637,www.palmdiscoveries.com,huts ₹1500,The six huts here are very simple and wonderfully isolated. It’s a steep walk down laterite steps through the jungle to get here and at the bottom you’re greeted with the secluded covelike Khancola Beach and the smiling staff at the small restaurant-bar. Even if you don’t stay it’s worth hiking down for a few hours on the beach.,https://www.lonelyplanet.com/india/goa/cola-beach/hotels/palm-discoveries/a/poi-sle/1508026/1340169
66,Dwarka Beach Resort,South Goa,Cola Beach,8551056490,www.dwarkagoa.com,"d huts incl meals ₹13,000","A beach hut for ₹13,000 – no way! The huts are certainly very nice and most are sea-facing, terracing down the hillside to the beach side of the lagoon. Boutique is the word here, with only 10 huts and lots of personal attention. And meals are included. But ₹13,000? Unsurprisingly, the restaurant and bar is exclusive to guests.",https://www.lonelyplanet.com/india/goa/cola-beach/hotels/dwarka-beach-resort/a/poi-sle/1612269/1340169
67,Beach Street,North Goa,Mandrem Beach,9403410679,,"huts ₹4300-6900, chalets ₹8600-11,800","The beachfront huts are adorable at Beach Street, where the adjacent building encloses an inviting pool. Well-designed huts range from simple with bathroom and verandah to two-storey palm-thatch family 'chalets' sleeping five. The Lazy Dog beachfront restaurant here has five-star aspirations with waiters dressed in cruise uniforms.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/beach-street/a/poi-sle/1506451/1301996
68,Casa Susegad,South Goa,,0832-6483368,www.casasusegad.com,s/d ₹7500/9000,"With just five lovely, antique-filled rooms, this British-run place makes a wonderful upmarket retreat. An organic vegetable garden supplies the ingredients for delicious dinners, and a menagerie of parakeets, monkeys, cats and dogs inhabit the extensive gardens, complete with terrace swimming pool. It's about 1km from the church.",https://www.lonelyplanet.com/india/goa/loutolim/hotels/casa-susegad/a/poi-sle/1181904/1337575
69,Beach Box,Calangute & Baga,Baga River Rd. Baga,9607473627,http://boxhotels.in,d ₹4200-5400,About time someone in Goa thought of recycling old shipping containers. The rooms here are pretty cosy and they're a bit of a novelty in fully equipped half or full-size shipping containers with en suite and air-con. The in-ground pool is also a shipping container and the restaurant-bar is made up of various recycled materials.,https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/beach-box/a/poi-sle/1613280/1329280
70,Casa Vagator,North Goa,,0832-2416738,www.casaboutiquehotels.com,"d incl breakfast ₹12,200-18,600","Down the steps past Nine Bar and opening out onto craggy Vagator Beach, this is a successfully rendered outfit in the deluxe Casa boutique mould, and one of Vagator’s most stylish accommodation options. Cosy rooms and lush gardens offer gorgeous views out across the wide blue horizon. Two pools and a spa complete the picture.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/casa-vagator/a/poi-sle/1116772/1329281
71,Island Pool Villa,Panaji & Central Goa,opposite St Batholomew's Church. Chorao,971505583613,,"villa incl breakfast from ₹11,700","This beautiful four-bedroom Portuguese villa on Chorao Island sleeps up to 12 people, so is a good deal for a family or group looking to get away from the beach and enjoy village life. Rooms are filled with antiques and four-poster beds but are air-conditioned and the shady garden with swimming pool is serene. Meals available.",https://www.lonelyplanet.com/india/goa/chorao-island-1337560/hotels/island-pool-villa/a/poi-sle/1610914/1337560
72,Sam’s Guesthouse,South Goa,,0832-2788753,,r ₹800,"Away from the fray, north of Colva’s main drag on the road running parallel to the beach, Sam’s is a big, cheerful place with friendly owners and spacious rooms that are a steal at this price. Rooms are around a pleasant garden courtyard and there’s a good restaurant and whacky 'cosy cave'. Wi-fi in the restaurant only.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/hotels/sam-s-guesthouse/a/poi-sle/1181919/1315141
73,Backpacker Panda,North Goa,"1116, Anna Vaddo",9172313995,www.backpackerpanda.com,dm from ₹500,"Down a winding lane and very close to the beach, this is Candolim's best bet for backpackers. Clean four- to eight-bed air-con dorms (some mixed, one female-only) have attached bathrooms and there's an open-sided cafe with loungy seating. Bike hire is available. Follow sign to Sonesta Inns and take the lane to the north.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/backpacker-panda/a/poi-sle/1610915/1329279
74,Palm Grove Cottages,South Goa,Vaswado,0832-2770059,www.palmgrovegoa.com,d incl breakfast ₹3800-4250,"Old-fashioned, secluded charm and Benaulim’s leafiest garden welcomes you at Palm Grove Cottages, a fine midrange choice. The quiet AC rooms, some with balcony, all have a nice feel but the best are the spacious deluxe rooms in a separate Portuguese-style building. The Palm Garden Restaurant here is exceptionally good.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/palm-grove-cottages/a/poi-sle/1017989/1315142
75,Hotel Bougainvillea,Anjuna,Anjuna-Mapusa Rd,0832-273270,www.granpasinn.com,d/ste incl breakfast from ₹5700/7500,"An old-fashioned heritage hotel housed in a pretty, yellow 200-year-old ancestral mansion, ‘Granpa’s Inn’ offers charm and a touch of luxury with a lovely pool and well-decorated cottages. The grounds are lush, shady and make for a cool retreat, though some find it a little far from the beach for this price.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/hotel-bougainvillea/a/poi-sle/1150104/356225
76,Mateus,Panaji,432 31st January Rd,7447488889,www.mateusgoa.com,d incl breakfast ₹4500-5000,"The nine boutique rooms are compact but delightful in this renovated 1879 Portuguese mansion. The whole place, with a striking canary-yellow facade, has been beautifully refurbished with a lounge and breakfast area, colonial-era furnishings and rear garden with a tiny pool. It's in the heart of the Old Quarter.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/mateus/a/poi-sle/1613169/356231
77,Johnny’s Hotel,Calangute & Baga,Khobra Vaddo. Calangute,0832-2277458,www.johnnyshotel.com,"s ₹800, d ₹1000-1500, with AC ₹1600-2000","The 12 simple rooms at this backpacker-popular place make for a sociable stay, with a downstairs restaurant-bar and regular yoga and reiki classes. A range of apartments and houses are available for longer stays. It’s down a lane lined with unremarkable midrange hotels and is just a short walk to the beach.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/johnny-s-hotel/a/poi-sle/1150081/1329280
78,La La Land,Palolem,,7066129588,www.lalaland.in,cottages ₹4200-8700,"On Colomb Bay, La La Land takes Keralan-style cottages to another level with a range of quirky but stylish huts and A-frame chalets all set in a beautiful garden. The latest venture here is an ayurvedic spa and Yoga Land (www.yokoyoga.co.uk) shalas set back in the jungle, making this a true retreat.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/la-la-land/a/poi-sle/1558645/1001559
79,Riva Beach Resort,North Goa,,0832-2247612,www.rivaresorts.com,d ₹5000-9500,"This sprawling complex of hotel-style rooms and seasonal cottages tumbles down from the main road to the inlet, where bamboo bridges provide access to the beach. Spring mattresses, ocean-view balconies, a good restaurant and on-site yoga retreats. It's also a bit of a party spot – Sunday is the pool party.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/riva-beach-resort/a/poi-sle/1506290/1301996
80,Camp San Francisco,Palolem,,9158057201,www.campsanfrancisco.com,huts & r ₹800-3500,"This hut village and associated guesthouse (Casa San Francisco) runs all the way from the beach to Palolem Beach Rd, offering a room or hut to suit most travellers. It's a good deal in mid-season as it has some of the cheaper huts along this stretch of beach. Naturally, there's a restaurant at the front.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/camp-san-francisco/a/poi-sle/1613988/1001559
81,Soul Vacation,South Goa,4th Ward,0832-2788147,www.soulvacation.in,"d incl breakfast ₹6300-8300, f villas from ₹10,400","Thirty sleek white rooms arranged around nice gardens and a neat pool are the trademarks of Soul Vacation, set 400m back from Colva Beach. This is central Colva’s most upmarket choice and, though pricey, there’s a nice air of exclusivity about it. There’s an ayurvedic spa, garden cafe and bar.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/hotels/soul-vacation/a/poi-sle/1024789/1315141
82,Shanu's Seaside Inn,North Goa,Escrivao Vaddo,9823016187,www.shanu.in,"d ₹1000, with AC ₹1500-3400","Shanu is one of several large guesthouses in this little grove just behind the dunes of Candolim Beach and it's a fine choice. The 18 rooms vary from basic but comfortable to deluxe rooms with sea views, air-con, king-sized beds and fridge. The owners also run the popular Pete's Shack on the beach.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/shanu-s-seaside-inn/a/poi-sle/1610919/1329279
83,Bhakti Kutir,Palolem,,9823627258,www.bhaktikutir.com,cottages ₹2800-4000,"Ensconced in a thick wooded grove in the Colomb Bay area south of Palolem, Bhakti’s rustic cottages are a little worn and you might find yourself sharing with local wildlife but this is still a popular eco and spiritual retreat with an ayurvedic massage centre and daily drop-in yoga classes.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/bhakti-kutir/a/poi-sle/1024777/1001559
84,Vivanta by Taj Fort Aguada,North Goa,,1800-111825,www.vivantabytaj.com,"d incl breakfast from ₹23,500, villa from ₹41,000","Dominating the headland above Sinquerim Beach, the Taj Group’s sprawling beach resort looks a little dated, but its service is still top-notch and the location impressive. Its Jiva Spa offers numerous soothing balms and palms, and the resort has a gym, pool, and three quality restaurants.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/vivanta-by-taj-fort-aguada/a/poi-sle/1431310/1329279
85,Anthy’s Guesthouse,South Goa,,0832-2771680,www.anthysguesthousegoa.com,d with/without AC ₹1900/1600,"One of a handful of places lining Sernabatim Beach, Anthy’s is a standout favourite with travellers for its good restaurant, book exchange and well-kept cottage-style garden rooms, which stretch back from the beach, surrounded by a garden. There are also a few comfortable wooden cabins.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/anthy-s-guesthouse/a/poi-sle/1181928/1315142
86,La Ben,South Goa,Colva Beach Rd,0832-2788040,www.laben.net,r with/without AC ₹1800/1650,"Neat, clean and not entirely devoid of atmosphere, La Ben is a traveller hang-out in the middle of the action with decent, good-value rooms, and has been around for ages. There's a rooftop bar and, at street level, the very good Garden Restaurant.",https://www.lonelyplanet.com/india/goa/colva-and-benaulim/hotels/la-ben/a/poi-sle/1181920/1315141
87,Palm Trees,South Goa,Patnem Beach Rd,9673178731,www.thepalmtreesgoa.com,cottages ₹2000-2800,The 10 Keralan-style cottages here are a step up from most beach-hut accommodation – and a few steps back from the beach – with imported bamboo and palm-thatch materials from Kerala and thoughtful furniture and artworks. It's all set in a serene garden on the main road to the beach.,https://www.lonelyplanet.com/india/goa/patnem/hotels/palm-trees/a/poi-sle/1507026/1302135
88,Casa Anjuna,Anjuna,D’Mello Vaddo 66,0832-2274123,www.casaboutiquehotels.com,"d incl breakfast ₹7900-16,400","This heritage hotel is enclosed in lovely plant-filled gardens set around an inviting pool, managing to shield itself from the hype of central Anjuna. All rooms have antique furnishings and period touches; like many upmarket places it’s better value out of season, when rates halve.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/casa-anjuna/a/poi-sle/1116765/356225
89,Vila Goesa,Calangute & Baga,,0832-2277535,www.vilagoesa.com,"d with/without AC from ₹4500/3000, cottage ₹4200-4700","Nicely situated between south Baga and north Calangute, and hidden in the palm thickets 200m back from the beach, this is a great place for lingering with a good book by the pool. Rooms are simple but pleasantly furnished; the higher the tariff, the closer you get to the beach.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/vila-goesa/a/poi-sle/1181604/1329280
90,Red Door Hostel,Anjuna,,0832-2274423,,"dm with/without AC from ₹500/400, d with/without AC ₹2200/1900","Red Door is a welcoming backpacker place close to Anjuna’s central crossroads with clean four- and six-bed dorms plus a few private rooms. Facilities include lockers, free wi-fi, a garden, good communal areas – including a well-equipped kitchen – and a sociable cafe-bar.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/red-door-hostel/a/poi-sle/1506648/356225
91,Rainbow Lining,Palolem,76 Ourem Rd,8390248102,,"dm ₹450-600, d ₹2500","This refurbished house is a good deal for backpackers with four- to 10-bed air-con dorms (bunks are curtained off) and a few private rooms. Friendly owners, rooftop yoga and breakfast available. At the time of writing, a new restaurant-bar MOG (Mad Over Goa) was about to open.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/rainbow-lining/a/poi-sle/1613170/1001559
92,Om Shiv Hotel,Margao,Cine Lata Rd,0832-2710294,www.omshivhotel.com,s/d ₹2400/2700,"In a lemon-yellow multistorey building tucked away behind the Bank of India, Om Shiv does a decent line in fading ‘executive’ rooms, all of which have air-con and balcony. There’s a gym and the 7th-floor Rockon Pub. Attractive online rates can make it worthwhile.",https://www.lonelyplanet.com/india/goa/margao-madgaon/hotels/om-shiv-hotel/a/poi-sle/1291528/356235
93,Nanutel Margao,Margao,Padre Miranda Rd,0832-6722222,www.nanuhotels.in,s/d incl breakfast ₹5300/5900,"Margao’s best business-class hotel by some margin, Nanutel is modern and slick with a lovely pool, good restaurant, bar and coffee shop, and clean air-con rooms. The location, between the Municipal Gardens and Largo de Igreja district, is convenient for everything.",https://www.lonelyplanet.com/india/goa/margao-madgaon/hotels/nanutel-margao/a/poi-sle/1507010/356235
94,Lotus Sutra,Arambol (Harmal),,9146096940,www.lotussutragoa.com,d & cottages ₹4000-5500,The fanciest place on Arambol's beachfront has a series of bright rooms in a quirky two-storey building and cute individual timber cottages facing a garden-lawn setting or towards the seafront. The Zen Oasis restaurant-bar is a popular spot and features live music.,https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/lotus-sutra/a/poi-sle/1556496/356226
95,Hotel Fidalgo,Panaji,18th June Rd,0832-6658000,www.fidalgogroup.com,"d ₹7000-8500, ste from ₹14,000","The city centre’s long-running business hotel is slightly stuffy and old-fashioned but Fidalgo works with snappy service and a good range of cuisines courtesy of its ‘food enclave’, including a good vegetarian Indian restaurant. Cheaper deals online.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/hotel-fidalgo/a/poi-sle/1048875/356231
96,Banyan Soul,Anjuna,,9820707283,www.thebanyansoul.com,d ₹3000,"A slinky 12-room option, tucked down the lane off Market Rd, and lovingly conceived and run by Sumit, a young Mumbai expat. Rooms are chic and well equipped with AC and TV, and there’s a lovely library and shady seating area beneath a banyan tree.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/banyan-soul/a/poi-sle/1150103/356225
97,Art Resort,Palolem,Ourem Rd,9665982344,www.art-resort-goa.com,huts ₹6200-9500,"The nicely designed upmarket beachfront cottages around an excellent restaurant have a Bedouin camp feel with screened sit-outs, double storeys and modern artworks sprinkled throughout. The resort hosts art exhibitions and has regular live music.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/art-resort/a/poi-sle/1506071/1001559
98,Lemon Tree Amarante Beach Resort,North Goa,Fort Aguada Rd,0832-3988188,www.lemontreehotels.com,r from ₹8400,"This boutiquey, luxe place on the main strip conjures up a strange mixture of Thai-spa style and medieval motifs. It works, though, with swish rooms equipped with wi-fi and DVD players, a luxurious spa and a roomy courtyard pool with swim-up bar.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/lemon-tree-amarante-beach-resort/a/poi-sle/1150075/1329279
99,Florinda’s,Anjuna,,9890216520,,"s/d ₹800/1000, with AC ₹1500","One of the better budget places near the beach and a bit hidden next to Janet & John's, Florinda’s has clean rooms, with 24-hour hot water, window screens and mosquito nets, set around a pretty garden. The few air-con rooms fill up fast.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/florinda-s/a/poi-sle/1291356/356225
100,Namaste Jungle Garden,North Goa,138/3 Bairo Alto,9850466105,,cottage & apt incl breakfast ₹3500,There's a real feeling of communing with nature in these slick and spacious timber cottages set back in a jungly Assagao garden. It also has two apartment-style rooms with kitchen in the main building and massage and yoga available.,https://www.lonelyplanet.com/india/goa/assagao-1341403/hotels/namaste-jungle-garden/a/poi-sle/1611583/1341403
101,Casa de Olga,North Goa,Harbour Rd. Chapora,9822157145,,"r ₹800-1350, without bathroom from ₹500","This welcoming family-run homestay, set around a nice garden on the way to Chapora harbour, offers spotless rooms of varying sizes in a three-storey building. The best are the top-floor rooms with swanky bathrooms, TV and balcony.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/casa-de-olga/a/poi-sle/1075692/1329281
102,Goan Café & Resort,North Goa,,0832-2244394,www.goancafe.com,"apt & cottages from ₹1800, with AC ₹2200, tree houses ₹2200, without bathroom ₹1200","Fronting Morjim Beach, this excellent family-run resort has a fine array of beachfront stilted ‘tree house’ huts and more solid rooms (some with AC) at the back. The beachfront restaurant is good and breakfast is included.",https://www.lonelyplanet.com/india/goa/morjim/hotels/goan-cafe-resort/a/poi-sle/1291457/1301994
103,Micky's,South Goa,,9850484884,www.mickyhuts.com,d ₹1500-2000,Micky's is an old-timer at the north end of Patnem Beach with a range of simple budget huts and rooms. It’s run by a friendly family and open for most of the year. There's a cruisey beachfront bar and cafe among the palms.,https://www.lonelyplanet.com/india/goa/patnem/hotels/micky-s/a/poi-sle/1150156/1302135
104,Casa Baga,Calangute & Baga,Tito's Lane 2. Baga,0832-2253204,www.casaboutiquehotels.com,"d ₹8400-11,200","The 24 luxury Balinese-style rooms, some with huge four-poster beds, make for a classy and tranquil stay in the midst of Baga’s action, with all the little stylish touches the Casa boutique team is so adept at providing.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/casa-baga/a/poi-sle/1024790/1329280
105,A Pousada Guest House,Panaji,Luis de Menezes Rd,0832-2422618,,"s/d from ₹950/1200, d with AC ₹1800","The five rooms in this bright-yellow place are simple but clean and come with comfy spring-mattress beds and TV. Owner Sabrina is friendly and no-nonsense, and it’s one of the better budget guesthouses in Fountainhas.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/a-pousada-guest-house/a/poi-sle/1290441/356231
106,Sevas,Palolem,,9422065437,www.sevaspalolemgoa.com,d huts ₹800-1500,"Hidden in the jungle on the Colomb Bay side of Palolem, Sevas has some of the more basic palm-thatch huts around, reflected in the price. But it's a very peaceful place set in a lovely shaded garden area.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/sevas/a/poi-sle/1181947/1001559
107,Cuba Agonda,South Goa,Agonda Beach,0832-2645775,www.cubagoa.com,"d ₹6200-10,000","These blue-and-white sea-facing cottages look a bit like fancy English bathing boxes but they’re well-appointed inside with air-con, TV and comfy beds, and verandas with steps straight to the beach.",https://www.lonelyplanet.com/india/goa/agonda/hotels/cuba-agonda/a/poi-sle/1507028/1302133
108,Abrigo de Botelho,Panaji,Rue de Natal,9527778884,www.hadbgoa.com,r incl breakfast ₹3250-5250,"At the end of a quiet lane in the Old Quarter, the six rooms in this lovely sky-blue heritage house are spacious, neatly furnished and enhanced with antiques, but still offer cable TV, AC and wi-fi.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/abrigo-de-botelho/a/poi-sle/1505262/356231
109,Caravela Homestay,Panaji,27 31st January Rd,0832-2237448,,d/ste incl breakfast from ₹2500/4000,"In a beautiful Sao Tomé heritage building, Caravela has 10 minimalist but comfortable rooms with extra touches such as minibar and toiletries. Across the lane is the cafe where breakfast is served.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/caravela-homestay/a/poi-sle/1558646/356231
