,title,location,address,phone,website,price,description,source
110,Casa Britona,North Goa,,0832-2416737,www.casaboutiquehotels.com,"d from ₹10,300","Casa Britona is a gorgeous 300-year-old converted customs warehouse on the water, with luxurious antique-filled rooms, fine outdoor dining beneath the stars and a lovely riverside swimming pool.",https://www.lonelyplanet.com/india/goa/inland-bardez-bicholim/hotels/casa-britona/a/poi-sle/1181565/1329278
111,D'Hibiscus,North Goa,83 Sinquerim,0832-2479842,www.dehibiscus.com,"d ₹4200, penthouse ₹6600","Huge modern rooms with balconies are the draw at this Portuguese home off Sinquerim Beach. The top-floor penthouse rooms, with spa bath, big-screen TV and balcony sunbeds, are worth a splurge.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/d-hibiscus/a/poi-sle/1556464/1329279
112,Bougainvillea Patnem,South Goa,,9822189913,www.bougainvilleapatnem.com,huts ₹2000-3500,Simple but clean and good value rooms behind the restaurant as well as the few premium sea-facing huts at the front. Yoga retreats and drop-in classes and ayurvedic treatments available.,https://www.lonelyplanet.com/india/goa/patnem/hotels/bougainvillea-patnem/a/poi-sle/1554708/1302135
113,Pappi Chulo,North Goa,Ozran Beach Rd. Vagator,9075135343,,"dm with/without AC ₹550/450, d ₹2000","Unashamedly Vagator's party hostel, Pappi's has a bar in the garden, movie nights and an international vibe of travellers just hanging out. Themed dorms have lockers and bunk beds.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/pappi-chulo/a/poi-sle/1558750/1329281
114,Baba Guesthouse & Villa,North Goa,Main St. Chapora,9822161142,,d with/without AC ₹1000/700,"With its laid-back Chapora location, Baba is often full with long-stayers but you might be lucky as a walk-in. The 14 rooms are clean and simple but serviceable.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/baba-guesthouse-villa/a/poi-sle/1075695/1329281
115,Abba's Gloryland,South Goa,Agonda Beach Rd,0832-2647822,www.abbasgloryland.com,"huts ₹1200, r with AC ₹1900","Back from the beach, Abba's is a decent budget choice with timber cottages at the side and air-con rooms in a separate building, all in a pleasant garden.",https://www.lonelyplanet.com/india/goa/agonda/hotels/abba-s-gloryland/a/poi-sle/1613679/1302133
116,Palm Trees Ayurvedic Heritage,South Goa,,9673178731,www.thepalmtreesayurvedagoa.com,huts ₹5300-6800,This ayurvedic resort has an exquisite riverside location in a thick palm grove at the southern end of Patnem village (access from Patnem–Rajbag road).,https://www.lonelyplanet.com/india/goa/patnem/hotels/palm-trees-ayurvedic-heritage/a/poi-sle/1613966/1302135
117,Fatima Guesthouse,South Goa,,0832-2647477,www.fatimasguesthouse.com,"d ₹1000-1500, with AC ₹1500-2500","An ever-popular budget guesthouse set back from the beach, with clean rooms, a good restaurant and obliging staff. Rooftop yoga classes in season.",https://www.lonelyplanet.com/india/goa/agonda/hotels/fatima-guesthouse/a/poi-sle/1181941/1302133
118,Casa de Goa,Calangute & Baga,"Dr Afonso Rd, Tivai Vaddo",0832-6717777,www.casadegoa.com,d/ste/villa incl breakfast from ₹5200/7000/8900,"The beautiful Casa de Goa is popular with Indian families and books up months in advance for weekends and high season. Portuguese-style yellow ochre buildings orbit a pretty pool courtyard. Decor is bright and fresh, and the big, clean rooms have safes, flat-screen TVs and new fridges, with other high-end and thoughtful touches.
It’s a good deal from April to October when rates are less than half.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/casa-de-goa/a/poi-sle/1291194/1329280
119,Hotel Golden Eye,Calangute & Baga,Holiday St. Calangute,0832-2277308,www.hotelgoldeneye.com,d ₹2800-4500,"This popular beachfront hotel at the end of ‘Holiday St’ has a fine range of rooms and apartments, from cheaper but tidy ones at the back to the boutique sea-facing rooms with modern decor, AC and cable TV. Unlike some midrangers, it’s welcoming to independent walk-in travellers, though you’ll need to book ahead in season.
The Flying Dolphin beach restaurant is out front.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/hotel-golden-eye/a/poi-sle/1506646/1329280
120,Kamaxi Beach Resort,South Goa,,9141615846,www.kamaxibeachresort.com,"cottages ₹2000, d ₹1500, without bathroom ₹1000, with AC ₹3500","Kamaxi Beach Resort, the sole place to stay in Polem, has some pretty earthy rooms but you’re paying for the seclusion, and the friendly brothers work hard at keeping the place clean and very low-key. Basic wooden huts are at the southern end of the beach and simple rooms in a pair of buildings at the northern beach entrance. A basic restaurant serves fresh seafood and cold drinks.",https://www.lonelyplanet.com/india/goa/polem/hotels/kamaxi-beach-resort/a/poi-sle/1181971/1329295
121,Ospey’s Shelter,Calangute & Baga,,7798100981,,d ₹1000,"Tucked away between the beach and St Anthony’s Chapel, in a quiet, lush little area full of palms and sandy paths, Ospey’s is a traveller favourite and only a two-minute walk from the beach. Spotless upstairs rooms have fridges and balconies and the whole place has a cosy family feel. Take the road directly west of the chapel – but it’s tough to find, so call ahead.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/ospey-s-shelter/a/poi-sle/1291199/1329280
122,Palolem Beach Resort,Palolem,,9764442775,www.cubagoa.com,"r with/without AC ₹4300/3400, cottages ₹5300-6000","The location is handy, on the beachfront at the main road entrance to the beach, but that only contributes to the lack of soul here and the rooms and huts are overpriced and devoid of character. However, it is a good value option in the fringe seasons when it's one of the only beachfront places open. There's a middling restaurant.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/palolem-beach-resort/a/poi-sle/1075730/1001559
123,Byke Old Anchor,South Goa,Cavelossim Rd. Cavelossim,0832-6627172,www.thebyke.com,r ₹2700-5000,"One of Cavelossim's original resorts, the ageing Old Anchor is quaint and hard to miss – the main building is shaped like a ship. But it remains good value compared with the fancy resorts around it. Rooms are plain but comfortable, with modern amenities, and the pool, bar and veg restaurant all have an appealing holiday quality.",https://www.lonelyplanet.com/india/goa/cavelossim-mobor/hotels/byke-old-anchor/a/poi-sle/1613173/1315143
124,Chilli’s,Arambol (Harmal),Glastonbury St,9921882424,,"d ₹700, apt with AC ₹1200","Near the beach entrance on Glastonbury St, this friendly canary-yellow place is one of Arambol’s better nonbeachfront bargains. There are 10 decent, no-frills rooms, all with attached bathroom, fan and a hot-water shower. The top-floor apartment with AC and TV is good value. Motorbikes and scooters available for hire.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/chilli-s/a/poi-sle/1150122/356226
125,Palacete Rodrigues,Anjuna,Mazal Vaddo,0832-2273358,,d ₹2800-3500,"This lovely family-run mansion, filled with antiques and ornate furniture, is as quirky as you could hope for in Anjuna – perhaps too over-the-top for some. Some of the 14 rooms and suites are themed and decorated along ethnic cultural lines: French, Chinese, Japanese and Goan. Outside is a neat garden and pool area.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/palacete-rodrigues/a/poi-sle/1024800/356225
126,Cotiago Cottages,Palolem,,,,₹800-1500,"If you’re serious about spotting wildlife at Cotigao Wildlife Sanctuary, it might be worth staying a night in one of the forest department cottages, right behind the reception at the park entrance. They’re no frills but clean, and meals can be arranged. From here you can make a start before the park even opens.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/cotiago-cottages/a/poi-sle/1505820/1001559
127,Cavala Seaside Resort,Calangute & Baga,Calungute-Baga Rd. Baga,0832-2276090,www.cavala.com,"s/d incl breakfast from ₹2300/3900, d & ste with AC ₹5400-8000","Idiosyncratic, ivy-clad Cavala has been harbouring Baga-bound travellers for over 25 years and is often full, especially the cheaper rooms. Perhaps as a result, the service is indifferent, but there’s a big range of rooms, a pool (across the road at Banana Republic) and a bar-restaurant with frequent live music.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/cavala-seaside-resort/a/poi-sle/1024764/1329280
128,Palolem Guest House,Palolem,Ourem Rd,0832-2644879,www.palolemguesthouse.com,"d from ₹2550, with AC ₹3000-5700","Set back from the beach on Ourem Rd, Palolem Guest House has been around a long time and will suit travellers not looking for the beach-hut experience. A range of plain but comfortable rooms, most with air-con, are arranged around a nice leafy garden. It’s a short walk to the beach and several good restaurants.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/palolem-guest-house/a/poi-sle/1075729/1001559
129,Alcove Resort,North Goa,,0832-2274491,www.alcovegoa.com,d ₹5400-8500,"The location overlooking Little Vagator Beach is hard to beat at this price. Attractively furnished rooms, slightly larger cottages, and four suites surrounding a decent central pool, restaurant and bar, make this a good place for those who want a touch of affordable luxury near the beach. Add ₹500 for air-con.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/alcove-resort/a/poi-sle/1075682/1329281
130,Beachside by Bombay Backpackers,North Goa,Asvem Beach Rd,9781040244,,"dm ₹400-450, d ₹1650","Down a lane off the main road opposite the beach, this backpackers in a converted old house makes a decent budget stay with four- to six-bed dorms with individual fans and lockers. There's a distinct lack of traveller vibe compared with some of north Goa's hostels but the location and price are good.",https://www.lonelyplanet.com/india/goa/aswem/hotels/beachside-by-bombay-backpackers/a/poi-sle/1611590/1329282
131,Mayfair Hotel,Panaji,Dr Dada Vaidya Rd,0832-2223317,,s/d from ₹3100/3500,"The oyster-shell windows and mosaic tiling in the lobby of this popular corner hotel are promising and the refurbished rooms are mostly in good shape. Ask to see a few as there are new and old wings with rooms of varying quality, some overlooking a potentially nice back garden. Noon checkout.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/mayfair-hotel/a/poi-sle/1048873/356231
132,Divine Guest House,Calangute & Baga,Baga River Rd. Baga,9370273464,www.indivinehome.com,"d ₹1200, with AC ₹1600, apt ₹3000","Long-running Divine still sits prettily behind a plant-covered wall on the relatively quiet headland north of the Baga River. The ‘Praise the Lord’ gatepost offers a little gentle proselytising from the friendly family, while the rooms are homey and bright with the odd individual touches.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/divine-guest-house/a/poi-sle/1150085/1329280
133,Hotel Mandovi,Panaji,Dayanand Bandodkar Marg,0832-2426270,www.hotelmandovigoa.com,"standard s/d ₹4200/4800, executive s/d ₹4800/5500, ste ₹9000","A Panaji institution for more than 50 years, the Mandovi offers dated rooms, many looking out onto the wide Mandovi River. For ambience, style and facilities, it’s outdone by other top-end hotels in town, but it's well-priced in the midrange bracket. There are a couple of good restaurants.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/hotel-mandovi/a/poi-sle/449827/356231
134,Oceanic Hotel,Palolem,,0832-2643059,www.oceanicgoa.com,d ₹4200-7200,"This neat white building, set a fair distance from the beach on the road between Palolem and Patnem, is a popular six-room boutique hotel, made particularly appealing by its swimming pool and patio restaurant, Baa's Kitchen. The standard rooms are compact, the upstairs deluxe ones bigger.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/oceanic-hotel/a/poi-sle/1075727/1001559
135,Casa Nova,Panaji,Gomes Pereira Rd,9423889181,www.casa-nova-homestay.goa-india-hotels-resorts.com,apt ₹7800,"In a gorgeous Portuguese-style house (c 1831) in Fontainhas, Casa Nova comprises just one stylish, exceptionally comfy double-bed apartment, accessed via a little alley and complete with arched windows, wood-beam ceilings, and mod-cons including a kitchenette and wi-fi. Book well ahead.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/casa-nova/a/poi-sle/1290439/356231
136,O Pescador,Panaji & Central Goa,,0832-2453863,www.opescador.com,"d ₹5600-7200, ste ₹7850","Part of the Indy resort chain, O Pescador’s waterfront site has been utilised to create well-decorated mock-Portuguese villas with a nice view of the ‘private’ beach. It’s a firm favourite among the UK package-holiday crowd, with comfy rooms and a nice little pool deck.",https://www.lonelyplanet.com/india/goa/dona-paula/hotels/o-pescador/a/poi-sle/1181956/1317439
137,Cidade de Goa,Panaji & Central Goa,,0832-2454545,www.cidadedegoa.com,"d ₹16,700-20,000","Indulgence is the order of the day at this swanky village-style place, designed by renowned local architect Charles Correa, located 1km down the coast from Dona Paula at Vanguinim Beach. All the usual opulence is on offer, including pool, spa and casino, and eight restaurants.",https://www.lonelyplanet.com/india/goa/dona-paula/hotels/cidade-de-goa/a/poi-sle/1116853/1317439
138,Julie Jolly,North Goa,Ozran Beach Rd. Vagator,0832-2273620,www.hoteljollygoa.com,"d from ₹1750, with AC ₹1950-2400","Rooms are neat and spacious, like little Spanish villas surrounding a small pool. It’s back from the beach action but has its own resort-style atmosphere. The owners also run two cheaper guesthouses in Vagator worth checking out – Jolly Jolly Lester and Jolly Jolly Roma.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/julie-jolly/a/poi-sle/1181698/1329281
139,Wellness Inn,North Goa,,9075006776,www.wellnessinn.in,d/f from ₹3200/4800,"This 13-room guesthouse will suit yoga practitioners with daily drop-in classes, yoga training on the rooftop terrace and a health-conscious veg restaurant. Rooms are spacious, airy and all have air-con. It's often busy with travellers on yoga retreats so book ahead.",https://www.lonelyplanet.com/india/goa/aswem/hotels/wellness-inn/a/poi-sle/1552766/1329282
140,Marquito's Guesthouse,Panaji,Dr Cunha Consalves Rd,9325122039,,s/d/tr incl breakfast ₹3000/3250/4100,"This attractive olive-green Portuguese house down a lane off 31st January Rd in Sao Tomé is equipped with compact, clean and plain-white rooms, but there's certainly a cosiness here. The rooms are all air-conditioned with TV and hardwood floors, some with balcony.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/marquito-s-guesthouse/a/poi-sle/1612692/356231
141,Aerostel,Calangute & Baga,2/201 Naikawaddo. Calangute,9833345744,,dm ₹500-750,This basic backpackers' hostel is a welcome budget addition to Calangute in a super-central location behind the main market (it's actually down a quiet lane opposite KFC). The six-/eight-/10-bed dorms are air-conditioned with en suite and there's a basic kitchen.,https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/aerostel/a/poi-sle/1610918/1329280
142,Hotel Satyaheera,North Goa,Anjuna-Mapusa Rd,0832-2262949,,d with/without AC from ₹2500/2200,"Next to the little Maruti temple in the town centre, this is Mapusa’s best central midrange hotel, which isn't saying much. Rooms are comfortable enough and Ruchira, the roof-garden restaurant, is a decent place to eat.",https://www.lonelyplanet.com/india/goa/mapusa/hotels/hotel-satyaheera/a/poi-sle/1075666/356229
143,Sunbeam,North Goa,Anjuna-Mapusa Rd,,www.justjivi.com/goa.html,"ste from ₹10,000","This pair of creative suites is one of North Goa’s most idiosyncratic properties. Owned and overseen by Jivi Sethi, a well-known and flamboyant Indian stylist, it’s all heirlooms, high theatrics, and lots of understated luxury – as well as fabulous food.",https://www.lonelyplanet.com/india/goa/assagao-1341403/hotels/sunbeam/a/poi-sle/1431359/1341403
144,Villa River Cat,North Goa,438/1 Junas Waddo,0832-2247928,www.villarivercat.com,"d ₹3800-4800, without bathroom ₹3100","This fabulously quirky circular guesthouse – filled with art, light, antiques, and an owner with a decidedly creative inclination – is popular with arty types, potential screenwriters and return guests. Animal lovers will enjoy the resident cats and dogs.",https://www.lonelyplanet.com/india/goa/mandrem/hotels/villa-river-cat/a/poi-sle/1150121/1301996
145,Hotel Sun Inn,Panaji & Central Goa,,0832-2318180,www.hotelsuninn.com,s/d incl breakfast from ₹2900/4000,"Sun Inn is a comfortable multistorey business hotel a few kilometres from central Ponda on the highway to Panaji, making it handy for temple visits. Expect clean, orderly rooms with TV and air-con. The upper-floor rooms have good views over the countryside.",https://www.lonelyplanet.com/india/goa/ponda-region/hotels/hotel-sun-inn/a/poi-sle/1506050/1317440
146,Mayem Lake View,North Goa,,0832-2362144,www.goa-tourism.com,"d ₹1100, with AC ₹1350-1700, ste ₹2200","Although a bit rundown, Goa Tourism’s Mayem Lake View is almost certainly the nicest of all the GTDC’s hotels and the lakeside location is peaceful. Its rooms are clean enough and good value and there's a restaurant serving breakfast, lunch and dinner.",https://www.lonelyplanet.com/india/goa/inland-bardez-bicholim/hotels/mayem-lake-view/a/poi-sle/1181564/1329278
147,Fernandes,Palolem,,0832-2643743,www.fernandeswoodenhuts.com,cottages ₹2000-3500,"This smart wooden beach hut operation is one of the most eye-catching on the northern beach strip, offering premium sea-facing cottages and cheaper garden cottages behind a very chilled restaurant. A mellow option on an otherwise quite busy bit of beach.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/fernandes/a/poi-sle/1430957/1001559
148,Cola Beach Resort,South Goa,Cola Beach,9822061223,www.colabeach.com,tents/cottages incl breakfast ₹6000/6500,"A short walk north of the lagoon, Cola Beach Resort fronts an even quieter stretch of beach, where Rajasthani safari tents and wooden cottages occupy space among the palms. The tents are spacious and comfortable enough but feel overpriced, even for Cola.",https://www.lonelyplanet.com/india/goa/cola-beach/hotels/cola-beach-resort/a/poi-sle/1507023/1340169
149,Hotel Vilena,North Goa,Feira Baixa Rd,0832-2263115,,d ₹1700-2000,"The once budget Vilena has had a refurb and all rooms are now air-conditioned with bathroom, but it's still good value and the rooms are well kept. There's a restaurant and bar on the 1st floor and a rooftop restaurant called Goan & Grills.",https://www.lonelyplanet.com/india/goa/mapusa/hotels/hotel-vilena/a/poi-sle/1075668/356229
150,Surf Club,Arambol (Harmal),,,www.thesurfclubgoa.com,d ₹1000-1800,"In a quiet space at the end of a lane, on the southern end of Arambol Beach, the Surf Club is one of those cool little hang-outs that offer a bit of everything: simple but clean rooms, a fun bar with live music and surf lessons and board hire.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/surf-club/a/poi-sle/1506355/356226
151,Vilanova,Anjuna,Anjuna Beach Rd,9820232058,,"d ₹900-1000, with AC ₹1200","Big, clean rooms have a fridge, TV, 24-hour hot water and window screens and are set in three Portuguese-style bungalows in a cute little compound. Good vibes and a comfortable family atmosphere, with friendly staff and a good restaurant.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/vilanova/a/poi-sle/1291348/356225
152,Villa Ludovici Tourist Home,North Goa,Fort Aguada Rd,0832-2479684,,d incl breakfast ₹1000,"For over 30 years Ludovici’s has been welcoming travellers into its well-worn, creaky rooms in a fading old Portuguese villa. Four-poster beds on a budget; the four rooms are large and the hosts (and ghosts) are kind and amiable.",https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/villa-ludovici-tourist-home/a/poi-sle/1075627/1329279
153,Shalom,North Goa,Ozran Beach Rd. Vagator,919881578459,www.shalomguesthousegoa.com,"d ₹900-1500, with AC ₹2000","Arranged around a placid garden not far from the path down to Little Vagator Beach, this established place is run by a friendly family and offers a variety of extremely well-kept rooms and a two-bedroom apartment for long-stayers.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/shalom/a/poi-sle/1150113/1329281
154,Hotel Seagull,Calangute & Baga,Holiday St. Calangute,0832-2179969,www.seagullgoa.com,d ₹3500,"Seagull’s rooms, set in a cheerful blue-and-white house in south Calangute, are light and airy with air-con, and a small pool out back. Downstairs is a streetside bar-restaurant serving Goan, Indian and continental dishes.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/hotel-seagull/a/poi-sle/1150087/1329280
155,Hotel Tanish,Margao,"Reliance Trade Centre, Valaulikar Rd",0832-2735858,www.hoteltanishgoa.com,"s/d ₹1200/1700, with AC ₹1500/2000","Oddly situated inside a modern mall, this top-floor hotel offers good views of the surrounding countryside, with stylish, well-equipped rooms. Try for an outside-facing room, as some overlook the mall interior.",https://www.lonelyplanet.com/india/goa/margao-madgaon/hotels/hotel-tanish/a/poi-sle/1150130/356235
156,D’Souza Guest House,South Goa,,0832-2770583,,d ₹600,"With just three rooms, this traditional blue-painted house in the back lanes is run by a local Goan family and comes with bundles of homely atmosphere and a lovely garden. It’s often full so book ahead.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/d-souza-guest-house/a/poi-sle/1017981/1315142
157,Casa Paradiso,Panaji,Jose Falcao Rd,0832-3290180,www.casaparadisogoa.com,d/tr with AC ₹2000/2800,"Location is the key to this place, just around the corner from the main church in the heart of the city. Up a small flight of stairs, the simple but clean rooms come with TV, hot water and noon checkout.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/casa-paradiso/a/poi-sle/1150055/356231
158,Rosario’s Inn,South Goa,,0832-2770636,,r with/without AC ₹900/600,"Across a football field flitting with young players and dragonflies, family-run Rosario’s is a large establishment with very clean, simple rooms and a restaurant. Excellent value for long-stayers.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/rosario-s-inn/a/poi-sle/1017983/1315142
159,Summer,Palolem,99/1 Ourem Rd,0832-2643406,www.thehostelcrowd.com/summerhostel,"dm with/without AC ₹550/450, d ₹1500-1900","The latest offering from the Hostel Crowd is minimalist in design but all the facilities are there, with free breakfast, lockers, communal kitchen and lounge, and the popular Bombay Roasters cafe.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/summer/a/poi-sle/1556571/1001559
160,Headquarters,Anjuna,,0832-2274510,,dm with/without AC ₹500/400,"Near the German Bakery, Headquarters ticks all the budget boxes for cleanliness and comfort with upstairs dorms, kitchen and common areas downstairs and a garden with some potential out back.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/headquarters/a/poi-sle/1611595/356225
161,Rainbow Cafe,North Goa,,,,huts ₹1200,"Rainbow has some colourful, decent-value huts behind its convivial beachfront restaurant (mains ₹110 to ₹400) and bar. It’s at the end of Morjim Beach Rd, right on the beach.",https://www.lonelyplanet.com/india/goa/morjim/hotels/rainbow-cafe/a/poi-sle/1506528/1301994
162,Dona Florina,North Goa,"Monteiro’s Rd, Escrivao Vaddo",9923049076,,d ₹2200-3500,Friendly Dona Florina is a no-frills guesthouse in a pleasant tangle of laneways and family-run hotels just back from the beach. Front-facing upper-floor rooms have sea views.,https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/dona-florina/a/poi-sle/1150071/1329279
163,Melissa Guest House,Calangute & Baga,Baga River Rd. Baga,9822180095,,d ₹1000,"Across the Baga River, Melissa Guest House has just four neat little rooms, all with attached bathrooms and hot-water showers, in a tatty garden. Good value for the location.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/melissa-guest-house/a/poi-sle/1150084/1329280
164,Furtados,South Goa,,0832-2770396,,d with/without AC ₹1800/1200,"Conveniently positioned at the main entrance to Sernabatim Beach, Furtados has decent, clean and pretty good-value rooms behind its popular beachfront restaurant.",https://www.lonelyplanet.com/india/goa/benaulim/hotels/furtados/a/poi-sle/1505402/1315142
165,Lazy Lama,Anjuna,,9717000955,,dm ₹300-500,"A laid-back hostel down a quiet lane in Anjuna village, Lazy Lama offers six- and 10-bed dorms in a partly converted Portuguese house. Attracts a chilled crowd.",https://www.lonelyplanet.com/india/goa/anjuna/hotels/lazy-lama/a/poi-sle/1613275/356225
166,Om Ganesh,Arambol (Harmal),,9404313206,,r ₹600-800,"Halfway along the cliff, Om Ganesh has been around for a while and has solid rooms in a building on the hillside, and seasonal huts-with-a-view on the rooftop.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/om-ganesh/a/poi-sle/1116727/356226
167,Ruffles Beach Resort,North Goa,Fort Aguada Rd,9850752662,www.rufflesgoa.com,d ₹2700-3500,A pleasant courtyard pool and well-equipped rooms make this a reliably good midrange choice. There’s a good little restaurant and bar facing the road.,https://www.lonelyplanet.com/india/goa/candolim-1329279/hotels/ruffles-beach-resort/a/poi-sle/1150073/1329279
168,Baba Place,North Goa,Chapora Fort Rd. Chapora,9822156511,,d ₹2500,"Baba Place, in the shadow of Chapora Fort, continues to improve with immaculate, decent-sized rooms with verandah, a small pool and a bar-restaurant.",https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/baba-place/a/poi-sle/1506421/1329281
169,Ludu Guest House,Arambol (Harmal),,9404434332,,r ₹500-1000,"Better than some similarly priced Arambol options, Ludu offers simply decorated, clean and bright cliffside rooms with attached cold-water showers.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/ludu-guest-house/a/poi-sle/1150124/356226
170,Matashree Beach Huts,South Goa,,9823609183,,huts ₹1500,"The budget offering on Talpona Beach, Matashree has 10 basic lime-green huts on the beach, with bathroom and fan. A bargain for the location.",https://www.lonelyplanet.com/india/goa/galgibag-talpona/hotels/matashree-beach-huts/a/poi-sle/1613846/1329294
171,Shree Sai Cottages,Arambol (Harmal),,9420767358,,hut ₹800,"At the north end of the cliffs, Shree Sai has simple, cute, sea-facing huts overlooking Kalacha Beach, alongside a good restaurant.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/shree-sai-cottages/a/poi-sle/1150123/356226
172,Garden Villa,North Goa,Vagator Beach Rd. Vagator,9822104780,,d ₹2500-3200,Just four clean rooms and two spacious bungalows in the garden behind an old Portuguese house; has a popular restaurant attached.,https://www.lonelyplanet.com/india/goa/vagator-chapora/hotels/garden-villa/a/poi-sle/1291401/1329281
173,Nest,Palolem,,9604416142,www.thenestpalolem.com,"d ₹1500-2500, with AC ₹5000","This very nifty village of seafront beach huts and restaurant is good value. The best huts have sea views, TV and air-con.",https://www.lonelyplanet.com/india/goa/palolem-and-around/hotels/nest/a/poi-sle/1558643/1001559
174,Casa Diya,South Goa,Cola Beach,9158053843,,huts ₹1500,This is the budget offering on Cola Beach with just a few hillside huts and a basic restaurant south of the lagoon.,https://www.lonelyplanet.com/india/goa/cola-beach/hotels/casa-diya/a/poi-sle/1613986/1340169
175,Pitruchaya Cottages,Arambol (Harmal),,9404454596,,r ₹700-800,"The sea-facing timber cottages here are among the best on the cliffs, with attached bathrooms, fans and verandahs.",https://www.lonelyplanet.com/india/goa/arambol-harmal/hotels/pitruchaya-cottages/a/poi-sle/1430610/356226
176,Hotel Sona,Panaji,Ourem Rd,0832-2222226,www.hotelsonagoa.com,d ₹3450-4300,"With a nice location opposite Ourem Creek, Sona is a sound but pretty boring choice in a good area, and probably a fraction overpriced. Not all of the 30 clinical-but-clean air-con rooms of this four-storey building face the river, so check out a few.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/hotel-sona/a/poi-sle/1181933/356231
177,Hotel Ria Residency,Panaji,Ourem Rd,0832-2220002,,d ₹1500-2000,"Contrasting starkly with its heritage neighbours, this characterless blue-and-white corner place doesn’t look very appealing but at this price it’s not bad value for the location with reasonably comfortable air-con rooms.",https://www.lonelyplanet.com/india/goa/panaji-panjim/hotels/hotel-ria-residency/a/poi-sle/1181932/356231
178,Margao Residency,Margao,Luis Miranda Rd,0832-2715528,,"d ₹1410, with AC ₹2200, ste ₹2800","The omnipresent GTDC’s outfit in town is an acceptable but dull choice, with cleanish rooms and a good location opposite the Municipal Library. Persistent taxi touts out front can get tiresome.",https://www.lonelyplanet.com/india/goa/margao-madgaon/hotels/margao-residency/a/poi-sle/1040990/356235
179,Coco Banana,Calangute & Baga,,9960803790,,d with/without AC ₹1500/1200,"Among the palms south of the main entrance to Calangute Beach, low-key Coco Banana has been providing a retreat for travellers for many years. Rooms are spacious and spotless and the vibe mellow.",https://www.lonelyplanet.com/india/goa/calangute-and-baga/hotels/coco-banana/a/poi-sle/1150083/1329280
180,Mapusa Residency,North Goa,Calangute-Mapusa Rd,0832-2262694,,"s/d/tr ₹1250/1600/2000, d with AC ₹2200","Rooms are in the bland-but-functional mould you’d expect from GTDC accommodation, but the borderline budget-midrange price tag is reasonable value for the location across from the bus stand.",https://www.lonelyplanet.com/india/goa/mapusa/hotels/mapusa-residency/a/poi-sle/1075667/356229
